id,status,created_by,created_on,modified_by,modified_on,order_num,territorycode,territorylevel,territoryname,territory_pinyin,territorysort,x_wgs84,y_wgs84,territoryparentid
1043,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371525,4,冠县,GX,0,115.44274,36.484009,102
1044,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371526,4,高唐县,GTX,0,116.231478,36.866062,102
1045,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371581,4,临清市,LQS,0,115.704881,36.838277,102
1046,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371602,4,滨城区,BCQ,0,118.019146,37.43206,103
1047,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371621,4,惠民县,HMX,0,117.510451,37.489769,103
1048,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371622,4,阳信县,YXX,0,117.578262,37.641106,103
1049,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371623,4,无棣县,WDX,0,117.625696,37.770261,103
1050,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371624,4,沾化县,ZHX,0,118.132199,37.698281,103
1051,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371625,4,博兴县,BXX,0,118.131815,37.150226,103
1052,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371626,4,邹平县,ZPX,0,117.743109,36.862989,103
1053,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371702,4,牡丹区,MDQ,0,115.417827,35.252512,104
1054,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371721,4,曹县,CX,0,115.542328,34.825508,104
1055,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371722,4,单县,DX,0,116.107428,34.778808,104
1056,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371723,4,成武县,CWX,0,115.889765,34.952459,104
1057,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371724,4,巨野县,JYX,0,116.094674,35.396261,104
1058,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371725,4,郓城县,YCX,0,115.943613,35.599758,104
1059,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371726,4,鄄城县,JCX,0,115.510193,35.563408,104
1060,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371727,4,定陶县,DTX,0,115.573094,35.071,104
1061,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371728,4,东明县,DMX,0,115.089905,35.289368,104
11,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,8,2,黑龙江省,HLJS,0,126.662507,45.7421699,1
12,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,20000000,2,上海市,SHS,0,121.473704,31.230393,1
13,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,10,2,江苏省,JSS,0,118.763232,32.061707,1
14,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,11,2,浙江省,ZJS,0,120.153676,30.26586,1
15,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,12,2,安徽省,AHS,0,117.284923,31.861184,1
16,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,13,2,福建省,FJS,0,119.296506,26.099933,1
17,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,14,2,江西省,JXS,0,115.909175,28.674424,1
1739,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360102,4,东湖区,DHQ,0,115.89901,28.6849159,184
1740,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360103,4,西湖区,XHQ,0,115.877287,28.656887,184
1741,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360104,4,青云谱区,QYPQ,0,115.925749,28.621169,184
1742,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360105,4,湾里区,WLQ,0,115.730994,28.714869,184
1743,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360111,4,青山湖区,QSHQ,0,115.962144,28.682985,184
1744,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360121,4,南昌县,NCX,0,115.944162,28.545459,184
1745,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360122,4,新建县,XJX,0,115.815233,28.692437,184
1746,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360123,4,安义县,AYX,0,115.549199,28.844429,184
